[16:13:09] [ServerMain/INFO]: Building unoptimized datafixer
[16:13:12] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:13:16] [ServerMain/INFO]: Loaded 7 recipes
[16:13:16] [ServerMain/INFO]: Loaded 1179 advancements
[16:13:17] [Server thread/INFO]: Starting minecraft server version 1.19.3
[16:13:17] [Server thread/INFO]: Loading properties
[16:13:17] [Server thread/INFO]: Default game type: SURVIVAL
[16:13:17] [Server thread/INFO]: Generating keypair
[16:13:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:13:18] [Server thread/INFO]: Using epoll channel type
[16:13:18] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:13:18] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:13:18] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:13:18] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:13:18] [Server thread/INFO]: Preparing level "world"
[16:13:22] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:13:40] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[16:13:40] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:13:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:41] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[16:13:41] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:13:42] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[16:13:43] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[16:13:43] [Worker-Main-4/INFO]: Preparing spawn area: 51%
